FAIXA ETÁRIA,SEXO,COR OU RACA,SITUACÃO DE CONCLUSÃO,ANO QUE CONCLUIU,ESCOLA,ENSINO,ESTADO DA ESCOLA,DEPENDÊNCIA ADM DA ESCOLA,LOCALIZACAO DA ESCOLA,SG_UF_PROVA,PRESENCA CIÊNCIAS DA NATUREZA,PRESENCA CIÊNCIAS HUMANAS,PRESENCA LINGUAGENS E CÓDIGOS,PRESENCA MATEMÁTICA,CÓDIGO DA PROVA CIÊNCIAS DA NATUREZA,CÓDIGO DA PROVA CIÊNCIAS HUMANAS,CÓDIGO DA PROVA LINGUAGENS E CÓDIGOS,CÓDIGO DA PROVA MATEMÁTICA,NOTA CIÊNCIAS DA NATUREZA,NOTA CIÊNCIAS HUMANAS,NOTA LINGUAGENS E CÓDIGOS,NOTA MATEMÁTICA,LÍNGUA ESTRANGEIRA,STATUS DA REDACÃO,NOTA REDACÃO,NOTA TOTAL,"FAIXA SALARIAL",POSSUI INTERNET EM CASA
Entre 31 e 35 anos,F,Parda,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,BA,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,Nenhuma Renda,Não
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,RJ,Estadual,Urbana,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,514.7,504.7,547.0,559.1,Inglês,Sem problemas,800.0,269.4,"Até R$ 1.212,00",Não
19 anos,M,Parda,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,490.2,402.8,595.5,524.3,Inglês,Sem problemas,600.0,120.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
23 anos,F,Parda,Já conluí o Ensino Médio,2017,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,380.3,523.1,529.6,490.3,Inglês,Sem problemas,600.0,120.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,493.9,568.4,597.9,553.7,Inglês,Sem problemas,600.0,120.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
18 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza (Digital),Amarela (Digital),Amarela (Digital),Cinza (Digital),391.7,502.0,455.5,474.4,Espanhol,Sem problemas,540.0,208.4,"Até R$ 1.212,00",Sim
22 anos,M,Parda,Já conluí o Ensino Médio,2019,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,553.8,627.2,557.3,601.5,Inglês,Sem problemas,700.0,140.0,"De R$ 1.212,01 até R$ 1.818,00.",Não
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,404.2,452.5,431.5,366.0,Espanhol,Cópia Texto Motivador,0.0,73.2,"Até R$ 1.212,00",Sim
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,SP,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
20 anos,F,Branca,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RS,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,487.4,547.2,409.7,400.3,Inglês,Sem problemas,500.0,100.0,Nenhuma Renda,Sim
20 anos,F,Parda,Já conluí o Ensino Médio,2019,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,DF,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,458.5,504.1,545.5,406.9,Inglês,Sem problemas,720.0,144.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
19 anos,M,Parda,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,Nenhuma Renda,Não
17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,SP,Estadual,Urbana,SP,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"Até R$ 1.212,00",Sim
Menor de 17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,AM,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,434.3,415.1,398.9,419.7,Espanhol,Cópia Texto Motivador,0.0,0.0,"De R$ 3.030,01 até R$ 3.636,00.",Sim
Entre 26 e 30 anos,M,Preta,Já conluí o Ensino Médio,2012,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,AL,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul (Digital),Branca (Digital),Branca (Digital),Azul (Digital),447.4,576.5,556.9,708.5,Inglês,Sem problemas,560.0,112.0,"De R$ 3.636,01 até R$ 4.848,00.",Sim
